ZIP_CODE,C,5;LATITUDE,C,11;LONGITUDE,C,11;ZIP_CLASS,C,1;PONAME,C,28;STATE,C,2;COUNTY,C,3;ZIP_CODE,C,5,LATITUDE,C,11,LONGITUDE,C,11,ZIP_CLASS,C,1,PONAME,C,28,STATE,C,2,COUNTY,C,3
36141;+32.3864;+86.1478;P;MONTGOMERY;01;101;36141,+32.3864,+86.1478,P,MONTGOMERY,01,101
99811;+58.38348;-134.197786;P;JUNEAU;02;110;99811,+58.38348,-134.197786,P,JUNEAU,02,110
85050;+33.6914;+111.9975;P;PHOENIX;04;013;85050,+33.6914,+111.9975,P,PHOENIX,04,013
72260;+34.7463;+92.2894;P;LITTLE ROCK;05;119;72260,+34.7463,+92.2894,P,LITTLE ROCK,05,119
94250;+38.5846;+121.4925;P;SACRAMENTO;06;067;94250,+38.5846,+121.4925,P,SACRAMENTO,06,067
80250;+39.6799;+104.9433;P;DENVER;08;031;80250,+39.6799,+104.9433,P,DENVER,08,031
06150;+41.7658;+72.6723;P;HARTFORD;09;003;06150,+41.7658,+72.6723,P,HARTFORD,09,003
19903;+39.1581;+75.5248;P;DOVER;10;001;19903,+39.1581,+75.5248,P,DOVER,10,001
32312;+30.5987;+84.2520;P;TALLAHASSEE;12;073;32312,+30.5987,+84.2520,P,TALLAHASSEE,12,073
30350;+33.9790;+84.3321;P;ATLANTA;13;121;30350,+33.9790,+84.3321,P,ATLANTA,13,121
96850;+21.3069;+157.8584;P;HONOLULU;15;003;96850,+21.3069,+157.8584,P,HONOLULU,15,003
83756;+43.6142;+116.2158;P;BOISE;16;001;83756,+43.6142,+116.2158,P,BOISE,16,001
62756;+39.7972;+89.6539;P;SPRINGFIELD;17;167;62756,+39.7972,+89.6539,P,SPRINGFIELD,17,167
46250;+39.9039;+86.0691;P;INDIANAPOLIS;18;097;46250,+39.9039,+86.0691,P,INDIANAPOLIS,18,097
50359;+41.5954;+93.7652;P;DES MOINES;19;153;50359,+41.5954,+93.7652,P,DES MOINES,19,153
66647;+39.0405;+95.7272;P;TOPEKA;20;177;66647,+39.0405,+95.7272,P,TOPEKA,20,177
40618;+38.1781;+84.8991;P;FRANKFORT;21;073;40618,+38.1781,+84.8991,P,FRANKFORT,21,073
70837;+30.5488;+91.2066;P;BATON ROUGE;22;033;70837,+30.5488,+91.2066,P,BATON ROUGE,22,033
04333;+44.3059;+69.7821;P;AUGUSTA;23;011;04333,+44.3059,+69.7821,P,AUGUSTA,23,011
21404;+38.9765;+76.5007;P;ANNAPOLIS;24;003;21404,+38.9765,+76.5007,P,ANNAPOLIS,24,003
02241;+42.3547;+71.0568;P;BOSTON;25;025;02241,+42.3547,+71.0568,P,BOSTON,25,025
48951;+42.7325;+84.5555;P;LANSING;26;065;48951,+42.7325,+84.5555,P,LANSING,26,065
55150;+44.8871;+93.1617;P;SAINT PAUL;27;037;55150,+44.8871,+93.1617,P,SAINT PAUL,27,037
39250;+32.3200;-90.2000;P;JACKSON;28;000;39250,+32.3200,-90.2000,P,JACKSON,28,000
65106;+38.5700;-92.1900;P;JEFFERSON CITY;29;000;65106,+38.5700,-92.1900,P,JEFFERSON CITY,29,000
59620;+46.5300;-112.1600;P;HELENA;30;000;59620,+46.5300,-112.1600,P,HELENA,30,000
68542;+40.8100;-96.6800;P;LINCOLN;31;000;68542,+40.8100,-96.6800,P,LINCOLN,31,000
89706;+39.2100;-119.7100;P;CARSON CITY;32;000;89706,+39.2100,-119.7100,P,CARSON CITY,32,000
03303;+43.2300;-71.5600;P;CONCORD;33;000;03303,+43.2300,-71.5600,P,CONCORD,33,000
08650;+40.2200;-74.7600;P;TRENTON;34;000;08650,+40.2200,-74.7600,P,TRENTON,34,000
87540;+35.6700;-105.9500;P;SANTA FE;35;000;87540,+35.6700,-105.9500,P,SANTA FE,35,000
12250;+42.6600;-73.7900;P;ALBANY;36;000;12250,+42.6600,-73.7900,P,ALBANY,36,000
27650;+35.8200;-78.6500;P;RALEIGH;37;000;27650,+35.8200,-78.6500,P,RALEIGH,37,000
58504;+46.8000;-100.7600;P;BISMARCK;38;000;58504,+46.8000,-100.7600,P,BISMARCK,38,000
43251;+39.9800;-82.9800;P;COLUMBUS;39;000;43251,+39.9800,-82.9800,P,COLUMBUS,39,000
73150;+35.4600;-97.5100;P;OKLAHOMA CITY;40;000;73150,+35.4600,-97.5100,P,OKLAHOMA CITY,40,000
97307;+45.0100;-123.0100;P;SALEM;41;000;97307,+45.0100,-123.0100,P,SALEM,41,000
